Accounts Fee Code :,,,,,,
ACCOUNTID,Account Name,Account Type,Retained Margin Umbrella no Expenses,Retained Margin Umbrella with Expenses,Retained Margin Non CIS (SE),Retained Margin CIS
zcrm_1171216000000218071,Cotleigh Engineering Co Ltd,Agency,£20,£20,,£20
zcrm_1171216000000218072,CPS Recruitment,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218073,Crest Employment Services Ltd,Agency,16.95,16.95,NA,16.95
zcrm_1171216000000218074,CT and R Technical Services,Agency,£19,£19,NA,NA
zcrm_1171216000000218075,Cyberteam,Agency,,,,
zcrm_1171216000000218076,Dakota 6,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218077,DanTec,End Client,,,,
zcrm_1171216000000218078,Darren Bell Recruitment,Agency,,,,
zcrm_1171216000000218079,DATS Recruitment,Agency,,,,
zcrm_1171216000000218080,Design and Build Resource Solutions,Agency,£15,£22,NA,£22
zcrm_1171216000000218081,Ionic,Agency,£15,£15,NA,NA
zcrm_1171216000000218082,DeeKayTechnical Recruitment Ltd,Agency,£20,£25,NA,NA
zcrm_1171216000000218083,Design Services (NW) Ltd,Agency,£20,£20,,
zcrm_1171216000000218084,Driver Hire,Agency,,,,
zcrm_1171216000000218085,Driving Force,Agency,£10,£15,NA,NA
zcrm_1171216000000218086,Driver Link UK,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218088,E1EW Limited,Agency,,,,
zcrm_1171216000000218089,EarthStream Global,Agency,,,,
zcrm_1171216000000218090,Eden Brown,Agency,£15,£15,,£15
zcrm_1171216000000218091,Eden Scott,Agency,NA,£19,NA,NA
zcrm_1171216000000218092,Education World,Agency,£2.88 per day capped @ £12,NA,NA,NA
zcrm_1171216000000218093,EJN Ltd,Agency,Earlies: £16.45 LatesNights: £20.95,Earlies: £16.45 LatesNights: £20.95,NA,NA
zcrm_1171216000000218094,Elite Contract Services,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218095,Elite Employment,Agency,,,,
zcrm_1171216000000218097,Employment Solutions,Agency,,,,
zcrm_1171216000000218098,Encon Staffing Associates Ltd,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218099,Energi Recruitment Services Ltd,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218100,Engage Education,Agency,,,,
zcrm_1171216000000218101,Engineering Recruitment Services Limited,Agency,,,,
zcrm_1171216000000218102,E-PPL,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000000218103,Escape Recruitment Services Ltd,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218104,Essential Recruitment,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218105,ETS Workforce Limited,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218106,Evolution Recruitment Solutions,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218107,Executive Stand By Ltd,Agency,,,,
zcrm_1171216000000218108,Expert Group (UK) Ltd Cannock,Agency,,,,
zcrm_1171216000000218109,Expert Group (UK) Ltd Dartford,Agency,,,,
zcrm_1171216000000218110,Expert Group (UK) Ltd Deeside,Agency,NA,NA,NA,NA
zcrm_1171216000000218111,Expert Group (UK) Ltd Liverpool,Agency,,,,
zcrm_1171216000000218112,Expert Group (UK) Ltd Scotland,Agency,,,,
zcrm_1171216000000218113,Expert Group (UK) Ltd Sheffield,Agency,,,,
zcrm_1171216000000218114,Expert Group (UK) Ltd Swansea,Agency,,,,
zcrm_1171216000000218115,Extra Personnel Warrington,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218116,Falkland Performance Centre,End Client,,,,
zcrm_1171216000000218117,Farralls Transport,End Client,,,,
zcrm_1171216000000218118,Fastrac,Agency,16.95,16.95,NA,16.95
zcrm_1171216000000218119,Fine Green Associates,Agency,£16.5,£16.5,NA,NA
zcrm_1171216000000218120,First Class Supply,Agency,£2.88 per day capped @ £12,NA,NA,NA
zcrm_1171216000000218121,FPS - First People Solutions,Agency,£20,£20,NA,£20
zcrm_1171216000000218122,First Point Group,Agency,,,,
zcrm_1171216000000218123,First Recruitment Group,Agency,£25,£25,NA,£18
zcrm_1171216000000218125,Fortel Services Limited,End Client,£13,NA,£13,NA
zcrm_1171216000000218126,Fuel Recruitment,Agency,£20,NA,NA,NA
zcrm_1171216000000218127,Fusion People,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218128,GAP Technical,Agency,£17.5,£17.5,NA,NA
zcrm_1171216000000218129,GBRS,Agency,£16,£23,NA,£23
zcrm_1171216000000218130,Get Recruited,Agency,,,,
zcrm_1171216000000218131,GF Holding,End Client,,,,
zcrm_1171216000000218132,GGR Group,End Client,26.90,26.90,NA,NA
zcrm_1171216000000218133,Global Resources,Agency,,,,
zcrm_1171216000000218134,Global Technology Solutions,Agency,£14.45 or £16.95 for Labourers,NA,NA,NA
zcrm_1171216000000218135,Gold Group Limited,Agency,£15,£15,NA,NA
zcrm_1171216000000218136,GPW St Helens,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218137,Grafters (Scotland) Ltd,Agency,19.45,19.45,NA,NA
zcrm_1171216000000218138,Grass Roots Academic Support,Agency,£2.88 pd capped @ £12.50 pw,NA,NA,NA
zcrm_1171216000000218139,GTR,Agency,£19,£19,,£19
zcrm_1171216000000218140,HAUPT Recruitment UK,Agency,£12.5,£20,NA,NA
zcrm_1171216000000218142,Headstart Employment,Agency,,,,
zcrm_1171216000000218143,Hexagon Recruitment Services Ltd,Agency,26.90,26.90,NA,NA
zcrm_1171216000000218144,Wood Group,End Client,,,,
zcrm_1171216000000218145,HSE Recruitment Birmingham,Agency,,,,
zcrm_1171216000000218146,Humber Electrical,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000000218147,Huxley Associates,Agency,,,,
zcrm_1171216000000218148,Igloo Automotive Recruitment HQ,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000218149,Industrial Personnel Ltd,Agency,,,,
zcrm_1171216000000218150,Initial Recruitment Services,Agency,4.5% OF GROSS PAY CAPPED AT £16.50,NA,NA,NA
zcrm_1171216000000218151,Intec UK Limited,Agency,£12.5,26.45,NA,NA
zcrm_1171216000000218153,James Andrews Recruitment Solutions (Birmingham),Agency,£25.5,34.50,NA,£20
zcrm_1171216000000218155,JBA Design,End Client,,,,
zcrm_1171216000000218156,Jenrick,Agency,£25,£25,NA,NA
zcrm_1171216000000218157,JIGSOL,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000000218158,KBM Resourcing Ltd,Agency,£20,£20,NA,NA
zcrm_1171216000000218159,WRS Recruitment HO,Agency,£18,£18,NA,£18
zcrm_1171216000000218160,Keyman Personnel,Agency,,,,
zcrm_1171216000000218162,KPJ Design & Drafting Ltd,Agency,,,,
zcrm_1171216000000218163,LA International,Agency,£23,£23,NA,NA
zcrm_1171216000000218164,Leap 29 Wilmslow,Agency,,,,
zcrm_1171216000000218165,Liquid Personnel,Agency,£19,£19,NA,NA
zcrm_1171216000000218166,Lutech Resources Limited,Agency,,,,
zcrm_1171216000000218167,Magma Products,End Client,,,,
zcrm_1171216000000218168,Major GPS Recruitment,Agency,,,,
zcrm_1171216000000218169,Mane Contract Services,Agency,,,,
zcrm_1171216000000218170,Manpower Bracknell,Agency,21.95,21.95,,21.95
zcrm_1171216000000218171,Manpower Bristol,Agency,21.95,21.95,,21.95
zcrm_1171216000000218172,Manpower- Dewsbury,Agency,,,,
zcrm_1171216000000218173,Manpower Farnborough,Agency,£19,£19,£19,£19
zcrm_1171216000000218174,Manpower Glasgow (Grangemouth),Agency,21.95,21.95,,21.95
zcrm_1171216000000218175,Manpower Leatherhead,Agency,21.95,21.95,,21.95
zcrm_1171216000000218176,Manpower Newcastle,Agency,21.95,21.95,,21.95
zcrm_1171216000000218177,Manpower St Albans,Agency,£19,£19,£19,£19
zcrm_1171216000000218178,Manpower UK Ltd HO,Agency,21.95,21.95,,21.95
zcrm_1171216000000218179,Manpower Uxbridge,Agency,21.95,21.95,,21.95
zcrm_1171216000000218180,Manucomm Recruitment,Agency,,,,
zcrm_1171216000000218181,Marske Site Services Limited,Agency,,,,
zcrm_1171216000000218182,Matchtech,Agency,,,,
zcrm_1171216000000218183,Maxwell Bruce,Agency,17.95,17.95,17.95,17.95
zcrm_1171216000000218184,MBN Recruitment Solutions Ltd,Agency,26.95,26.95,NA,NA
zcrm_1171216000000219186,McCarthy Campbell,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000219187,Medacs *** New Business do not register any workers with this company ***,Agency,,,,
zcrm_1171216000000219189,Medlock FRB,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000000219190,Meridian Business Support,Agency,,,,
zcrm_1171216000000219191,MET Recruitment,Agency,,,,
zcrm_1171216000000219192,Michael Page Aberdeen,Agency,,,,
zcrm_1171216000000219193,Midland Driver Recruitment,Agency,,,,
zcrm_1171216000000219194,Millbank Runcorn,Agency,,,,
zcrm_1171216000000219195,Mimosa Staffing,Agency,19.95,19.95,NA,NA
zcrm_1171216000000219196,Minstrell Recruitment,Agency,£20,£20,NA,NA
zcrm_1171216000000219197,Mitre,Agency,26.90,26.90,26.90,26.90
