Accounts Fee Code :,,,,,,
ACCOUNTID,Account Name,Account Type,Retained Margin Umbrella no Expenses,Retained Margin Umbrella with Expenses,Retained Margin Non CIS (SE),Retained Margin CIS
zcrm_1171216000002182022,Network HR Recruitment,Agency,24.45,24.45,NA,NA
zcrm_1171216000002182023,Network Managed Services,Agency,,,,
zcrm_1171216000002182025,Network Recruitment Solutions,Agency,,,,
zcrm_1171216000002182026,Network Sales & Marketing,Agency,,,,
zcrm_1171216000002182027,Paragon Network,Agency,,,,
zcrm_1171216000002182028,Pertemps ERP Consulting,Agency,,,,
zcrm_1171216000002182029,Pertemps IT (Cardiff),Agency,£20,£20,NA,NA
zcrm_1171216000002182030,Pertemps IT (London),Agency,,,,
zcrm_1171216000002182031,Pertemps Professional Staffing Network,Agency,,,,
zcrm_1171216000002182032,Porter Moore,Agency,,,,
zcrm_1171216000002182033,Procurement People,Agency,,,,
zcrm_1171216000002182034,Red Recruitment to Recruitment,Agency,,,,
zcrm_1171216000002182035,SSR Contract & Technical,Agency,£20,£20,NA,NA
zcrm_1171216000002182036,SSR General & Management,Agency,,,,
zcrm_1171216000002182037,Talent Match,Agency,,,,
zcrm_1171216000002182038,The Book Recruitment,Agency,,,,
zcrm_1171216000002182039,The People Network (Swindon),Agency,,,,
zcrm_1171216000002182040,The People Network (Bromley),Agency,,,,
zcrm_1171216000002182041,Total Employment - Thetford Office,Agency,,,,
zcrm_1171216000002182042,Trinity IT Consulting,Agency,,,,
zcrm_1171216000002188007,The People Network,,,,,
zcrm_1171216000002188009,FM Property Recruitment,,,,,
zcrm_1171216000002226013,Cordant Care,Agency,15.95,15.95,NA,NA
zcrm_1171216000002274019,Hotfoot Recruitment,Agency,,,,
zcrm_1171216000002274035,Shearstone Building Services,End Client,25.95,25.95,25.95,25.95
zcrm_1171216000002288224,Smart Way 2 Recruit,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000002288300,Top Job Recruitment,Agency,,,,
zcrm_1171216000002300292,Conrad Consulting,Agency,24.95,24.95,NA,NA
zcrm_1171216000002312001,Driver Require,Agency,£12.95 Weekly,£14.95 Weekly,NA,NA
zcrm_1171216000002328009,Potensis,Agency,,,,
zcrm_1171216000002345019,PMP Recruitment,Agency,,,,
zcrm_1171216000002357031,KDM Consulting,Agency,,,,
zcrm_1171216000002373168,VIVATE,Agency,£23,£23,NA,NA
zcrm_1171216000002434003,Revive,Agency,,,,
zcrm_1171216000002442266,Red Apple,Agency,,,,
zcrm_1171216000002442280,OSS Managed Services,Agency,,,,
zcrm_1171216000002442304,Exclusive Education,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000002442326,Link2Recruit,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000002444061,REC,Other,,,,
zcrm_1171216000002472148,CS Recruitment,Agency,,,,
zcrm_1171216000002516105,Robertson Transport Services,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000002545081,ECS Recruitment,Agency,26.90,26.90,NA,NA
zcrm_1171216000002562073,Prime Time,Agency,,,,
zcrm_1171216000002564560,Probe UK Ltd,Agency,,,,
zcrm_1171216000002617195,Challenge Recruitment Group Ltd,Agency,19.45,19.45,NA,NA
zcrm_1171216000002617247,Mecx Technical,Agency,,,,
zcrm_1171216000002617277,Netsource,Agency,26.90,26.90,NA,NA
zcrm_1171216000002617317,P3 People Management,Other,,,,
zcrm_1171216000002617399,ADLIB Recruitment,Agency,,,,
zcrm_1171216000002617409,BS Social Care,Agency,,,,
zcrm_1171216000002617419,Sphere Solutions,Agency,26.90,26.90,NA,NA
zcrm_1171216000002617465,Apple Recruitment UK Ltd,Agency,,,,
zcrm_1171216000002617481,Enbarr Enterprises,Agency,,,,
zcrm_1171216000002617491,First Step Recruitment,Agency,,,,
zcrm_1171216000002617531,Mynt Recruitment,Agency,,,,
zcrm_1171216000002631061,Fellows Recruitment,Agency,,,,
zcrm_1171216000002631115,People Line Recruitment,Agency,,,,
zcrm_1171216000002712001,GBV Ltd,Agency,£15,£25,NA,NA
zcrm_1171216000002776063,Application Recruitment,Agency,,,,
zcrm_1171216000002779729,Sugarman Education,Agency,£13,NA,NA,NA
zcrm_1171216000002791027,iMultiply Resourcing,Agency,,,,
zcrm_1171216000002791083,Staffplus,Agency,,,,
zcrm_1171216000002791099,Ten Live Ltd,Agency,,,,
zcrm_1171216000002791123,Be Personnel Ltd,Agency,,,,
zcrm_1171216000002791147,The Resource Partnership,Agency,,,,
zcrm_1171216000002791171,allianceHR Ltd,Other,,,,
zcrm_1171216000002791209,Trinity Connected,Agency,,,,
zcrm_1171216000002791219,D&S Training Recruitment Ltd,Agency,,,,
zcrm_1171216000002803161,AXESS,Agency,,,,
zcrm_1171216000002803177,Supply Care Solutions,Agency,,,,
zcrm_1171216000002803211,BPO Recruit Ltd,Agency,,,,
zcrm_1171216000002803229,FGM Recruitment Ltd,Agency,11.95,£18,NA,£19
zcrm_1171216000002805012,JSM Specialist Services Ltd,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000002841034,Castle View Health Care,Agency,,,,
zcrm_1171216000002841054,Right Track Recruitment,Agency,,,,
zcrm_1171216000002868247,Lucid Support Services,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000002889074,BMB Agency,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000002918037,Coleman Construction & Utilities Ltd,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000002960025,The London Teaching Pool,Agency,£2.88 per day capped @ £12,NA,NA,NA
zcrm_1171216000002960049,Clwyd Garage Ltd,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000002960246,CJR Midlands,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000002970181,Global O Services,Agency,,,,
zcrm_1171216000003027040,Teacher Active,Agency,£2.88 per day capped @ £12,NA,NA,NA
zcrm_1171216000003027108,Heat Recruitment,Agency,£20,£25,NA,NA
zcrm_1171216000003027140,Pro Start Solutions,Agency,,,,
zcrm_1171216000003115127,Wolseley,End Client,26.90,26.90,NA,NA
zcrm_1171216000003176013,Ingham Penny Consultants,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003211049,Adore Recruitment,Agency,£21,£21,NA,£21
zcrm_1171216000003211067,Consilior Talent Partners,Agency,,,,
zcrm_1171216000003214001,RKCT/Y&R,Agency,,,,
zcrm_1171216000003214035,Fomac Construction,Agency,,,,
zcrm_1171216000003239001,9-20 Recruitment,,,,,
zcrm_1171216000003240001,Lamb Personnel Services,Agency,,,,
zcrm_1171216000003243003,100% IT Recruitment,Agency,,,,
zcrm_1171216000003243004,360 Search,Agency,,,,
zcrm_1171216000003243005,3R Partnership,Agency,,,,
zcrm_1171216000003243007,Adam,Agency,,,,
zcrm_1171216000003243008,Addition Solutions,Agency,,,,
zcrm_1171216000003243010,Alexander Lort Executive Search,Agency,,,,
zcrm_1171216000003243011,Allen & York,Agency,,,,
zcrm_1171216000003243012,Anne Jagger Recruitment,Agency,,,,
zcrm_1171216000003243013,Armstrong Craven,Agency,,,,
zcrm_1171216000003243015,Aura Sales Recruitment Ltd,Agency,,,,
zcrm_1171216000003243016,Beaumont Select Ltd,Agency,,,,
zcrm_1171216000003243017,Boston Hale,Agency,£20,£25,,
zcrm_1171216000003243018,burton recruiting,Agency,,,,
zcrm_1171216000003243019,Cadogan Financial Search,Agency,,,,
zcrm_1171216000003243020,Calco,Agency,£22,£22,,
zcrm_1171216000003243021,Camino Partners,Agency,,,,
zcrm_1171216000003243023,CMG Consulting,Agency,,,,
zcrm_1171216000003243024,Colt Technology Services,Agency,,,,
zcrm_1171216000003243025,contruction executives limited,Agency,,,,
zcrm_1171216000003243026,Conway Consulting,Agency,,,,
zcrm_1171216000003243027,CV Screen Ltd,Agency,,,,
zcrm_1171216000003243028,Deltra Group,Agency,,,,
zcrm_1171216000003243029,EJ Church Ltd,Agency,,,,
zcrm_1171216000003243030,Entech Technical Solutions Ltd,Agency,£20,£20,,
zcrm_1171216000003243031,Euro Search & Selection,Agency,,,,
zcrm_1171216000003243032,Forever Inspiration,Agency,,,,
zcrm_1171216000003243033,"Global Learning Resources, inc",Agency,,,,
zcrm_1171216000003243034,GQR Global Markets,Agency,,,,
zcrm_1171216000003243035,Harnham Search & Selection Ltd,Agency,£19,£19,NA,NA
zcrm_1171216000003243036,Headcount Search,Agency,,,,
zcrm_1171216000003243038,Hudson Shribman,Agency,,,,
zcrm_1171216000003243039,Hudson Walker International,Agency,,,,
zcrm_1171216000003243040,Ingen Partners,Agency,,,,
zcrm_1171216000003243041,Intelletec,Agency,,,,
zcrm_1171216000003243042,Interpro,Agency,,,,
zcrm_1171216000003243043,j&c,Agency,,,,
zcrm_1171216000003243044,J3 Recruitment,Agency,,,,
zcrm_1171216000003243045,J-Curve,Agency,,,,
zcrm_1171216000003243046,JD&Co,Agency,,,,
zcrm_1171216000003243047,JS Consult Limited,Agency,,,,
zcrm_1171216000003243048,Kilpatrick International Executive Search,Agency,,,,
zcrm_1171216000003243049,Melinda Marks Recruitment,Agency,,,,
zcrm_1171216000003243050,MerlinCorp,Agency,,,,
zcrm_1171216000003243051,MISCO,Agency,,,,
zcrm_1171216000003243052,NU Creative Talent,Agency,,,,
zcrm_1171216000003243053,Oliver Barry,Agency,,,,
zcrm_1171216000003243054,Pentasia,Agency,,,,
zcrm_1171216000003243055,Personnel-IT Ltd,Agency,,,,
zcrm_1171216000003243056,Prism Digital,Agency,,,,
zcrm_1171216000003243057,Profiles Personnel,Agency,,,,
zcrm_1171216000003243058,Purcon,Agency,,,,
zcrm_1171216000003243059,Ray Associates,Agency,,,,
zcrm_1171216000003243060,doo Group,Agency,,,,
zcrm_1171216000003243061,Recruiting Essentials,Agency,,,,
zcrm_1171216000003243062,Recruitment Services Ltd,Agency,,,,
zcrm_1171216000003243064,RedCat Solutions,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003243065,Resource Solutions,Agency,,,,
zcrm_1171216000003243066,SAPREV,Agency,,,,
zcrm_1171216000003243067,Saxus Solutions,Agency,,,,
zcrm_1171216000003243068,Seed.Jobs,Agency,,,,
zcrm_1171216000003243069,Sentinel,Agency,,,,
zcrm_1171216000003243070,Simply360,Agency,,,,
zcrm_1171216000003243071,SJP Search,Agency,,,,
zcrm_1171216000003243072,SmithCarey Limited,Agency,,,,
zcrm_1171216000003243073,SW6 Associates,Other,,,,
zcrm_1171216000003243074,Talent Ecosystem,Agency,,,,
zcrm_1171216000003243075,Talentpool Selection,Agency,,,,
zcrm_1171216000003243076,TDA Recruitment Group,Agency,,,,
zcrm_1171216000003243077,The Management Recruitment Group,Agency,,,,
zcrm_1171216000003243078,TheBankingPractice Ltd.,Agency,,,,
zcrm_1171216000003243079,TPP Recruitment Ltd,Agency,,,,
zcrm_1171216000003243080,Ultimate Asset,Agency,,,,
zcrm_1171216000003243081,Veran Performance,Agency,,,,
zcrm_1171216000003243082,Whitehill Pelham,Agency,,,,
zcrm_1171216000003243083,William Nicolas Ltd,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003243084,Working Solutions Recruitment,Agency,,,,
zcrm_1171216000003261009,Kinnect Personnel,,,,,
zcrm_1171216000003323455,Site Force,Agency,,,,
zcrm_1171216000003323483,Mobile Technical Staff,Agency,16.95,16.95,NA,NA
zcrm_1171216000003323616,Labour Links Recruitment,Agency,,,,
zcrm_1171216000003323713,The Tuck Shop,End Client,,,,
zcrm_1171216000003348473,Recruitment Solutions Wales,Agency,,,,
zcrm_1171216000003348481,Pertemps Hemel Hempstead,Agency,26.90,26.90,NA,NA
zcrm_1171216000003349022,Cooper Lomaz Recruitment,Agency,£12,£12,NA,NA
zcrm_1171216000003351113,Coba Education - london,Agency,,,,
zcrm_1171216000003351257,Harrison William Recruitment,Agency,,,,
zcrm_1171216000003352926,Cover People,Agency,£2.88 per day capped @ £12,NA,NA,NA
zcrm_1171216000003380061,Team Engineering,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003389142,Heyland Recruitment,Agency,26.90,26.90,NA,NA
zcrm_1171216000003390047,Pyramid8,Agency,25.95,25.95,NA,NA
zcrm_1171216000003390087,ORKA Financial,Agency,26.95,26.95,NA,NA
zcrm_1171216000003433096,Silven Recruitment,Agency,26.90,26.90,NA,NA
zcrm_1171216000003433328,Marks Sattin,Agency,,,,
zcrm_1171216000003433354,People Force Recruitment,Agency,,,,
zcrm_1171216000003433566,Rise Technical Recruitment,Agency,9.95,NA,NA,NA
zcrm_1171216000003436180,Know How Resourcing,Agency,,,,
zcrm_1171216000003436198,Radiant Life,End Client,,,,
zcrm_1171216000003441186,ICR Group,End Client,,,,
zcrm_1171216000003451194,Cubo,End Client,26.90,26.90,26.90,26.90
zcrm_1171216000003451318,Russell Taylor,Agency,£15,£15,NA,NA
zcrm_1171216000003544009,Rullion Engineering Altrincham,Agency,14.95,15.95,NA,£15
zcrm_1171216000003551624,Tide Recruitment,Agency,,,,
zcrm_1171216000003553108,Handle Recruitment,Agency,£20,£20,26.90,
zcrm_1171216000003566001,Start people recruitment,,,,,
zcrm_1171216000003577013,Driver Hire Lincoln,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003616123,Kenton Black,Agency,£20,£20,,£20
zcrm_1171216000003616428,MBC Recruitment,Agency,,,,
zcrm_1171216000003618176,Tide Recruitment duplicate,Agency,,,,
zcrm_1171216000003618378,Quantica Technology,Agency,NA,NA,NA,NA
zcrm_1171216000003618416,ATA Selection,Agency,,,,
zcrm_1171216000003676051,Career Teachers,Agency,,,,
zcrm_1171216000003676065,Quattro,Agency,,,,
zcrm_1171216000003682270,Quantica Engineering,Agency,,,,
zcrm_1171216000003691368,Pertemps Network Group South West,Agency,,,,
zcrm_1171216000003709013,Cordant,Agency,,,,
zcrm_1171216000003709027,Pertemps Scotland,,,,,
zcrm_1171216000003710717,Tradestart Recruitment,Agency,26.90,26.90,NA,NA
zcrm_1171216000003710749,Gemini Search,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003770009,Broadgate Partners,Agency,,,,
zcrm_1171216000003770010,LEEDA Consultancy Ltd,Agency,,,,
zcrm_1171216000003770011,Bayley Needham,Agency,£20,£22,,
zcrm_1171216000003770012,Hamlyn Williams,Agency,,,,
zcrm_1171216000003770013,Humilis Consulting,Agency,,,,
zcrm_1171216000003770014,so Group,Agency,,,,
zcrm_1171216000003770015,Critical Resourcing,Agency,,,,
zcrm_1171216000003770016,Sphere Digital Recruitment,Agency,,,,
zcrm_1171216000003770017,Section Media,Agency,,,,
zcrm_1171216000003773489,Ellie Reed,Agency,,,,
zcrm_1171216000003779517,Red Sofa,Agency,,,,
zcrm_1171216000003779541,Star Medical,Agency,,,,
zcrm_1171216000003785511,Sommerman Skinner Associates,Agency,,,,
zcrm_1171216000003800310,Compass Resourcing,Agency,£18,£18,NA,NA
zcrm_1171216000003813990,Site Rite Solutions,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003824009,ADVANCED GLOBAL ENERGY,Agency,,,,
zcrm_1171216000003868037,Regus Recruitment - HO,Agency,,,,
zcrm_1171216000003868087,Stork Technical Services,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000003868111,CPS Group,Agency,£13.5,£20,NA,NA
zcrm_1171216000003868151,Highbury recruitment,Agency,,,,
zcrm_1171216000003868195,MGC Contracts,Agency,,,,
zcrm_1171216000003897003,Orion Engineering (Aberdeen),Agency,,,,
zcrm_1171216000003897004,Orion Engineering (Belfast),Agency,,,,
zcrm_1171216000003897005,Orion Engineering (Birmingham),Agency,,,,
zcrm_1171216000003897006,Orion Engineering (Dunfermline),Agency,,,,
zcrm_1171216000003897007,Orion Engineering (Glasgow) - Rail & Training Services,Agency,,,,
zcrm_1171216000003897008,Orion Engineering (Glasgow - Drilling & Well Services),Agency,,,,
zcrm_1171216000003897009,Orion Engineering (Oldham),Agency,,,,
zcrm_1171216000003897010,Orion Engineering (Newcastle),Agency,,,,
zcrm_1171216000003897011,Orion Engineering (London),Agency,£17,£17,NA,£18
zcrm_1171216000003897012,Orion Engineering (Invergordon),Agency,,,,
zcrm_1171216000003897013,Orion Engineering Rail Division,Agency,£17,£17,NA,£18
zcrm_1171216000003954001,Gleeson Recruitment Group,Agency,£13,£22,NA,NA
zcrm_1171216000003954007,Integrity IT Solutions,Agency,25.95,25.95,25.95,25.95
zcrm_1171216000003955066,Robin Recruitment,Agency,,,,
zcrm_1171216000004009091,Zenith Services,Agency,,,,
zcrm_1171216000004048323,BBR Services,Agency,Umbrella  CIS £0.01 - £150 per week £7.50margin   £151   £250 per week £15.00margin   £251+ per week £18.00margin,Umbrella  CIS £0.01 - £150 per week £7.50margin   £151   £250 per week £15.00margin   £251+ per week £18.00margin,NA,Umbrella  CIS £0.01 - £150 per week £7.50margin   £151   £250 per week £15.00margin   £251+ per week £18.00margin
zcrm_1171216000004053079,Tech-Search Associates,Agency,,,,
zcrm_1171216000004066003,Appleton Long Recruitment Services,Agency,,,,
zcrm_1171216000004066004,Big Fish Little Fish,Agency,,,,
zcrm_1171216000004066005,Business 2 Business Recruitment Ltd,Agency,,,,
zcrm_1171216000004066006,Connections,Agency,,,,
zcrm_1171216000004066007,Creative Resource,Agency,,,,
zcrm_1171216000004066008,DNA Specialists Ltd,Agency,,,,
zcrm_1171216000004066009,Douglas Scott Legal Recruitment,Agency,,,,
zcrm_1171216000004066010,F1rst Commercial Recruitment,Agency,,,,
zcrm_1171216000004066011,Finlay James Associates,Agency,,,,
zcrm_1171216000004066012,Futura,Agency,,,,
zcrm_1171216000004066013,Harrison Sands,Agency,,,,
zcrm_1171216000004066014,Hexa Services,Agency,,,,
zcrm_1171216000004066015,Howarth Morris Professional Selection,Agency,,,,
zcrm_1171216000004066016,Inscope Recruitment Services Ltd.,Agency,,,,
zcrm_1171216000004066017,Integra People,Agency,,,,
zcrm_1171216000004066018,Jumar Solutions,Agency,£25,£25,,
zcrm_1171216000004066019,Levitate,Agency,,,,
zcrm_1171216000004066020,M65 Recruitment,Agency,,,,
zcrm_1171216000004066021,MET Marketing,Agency,,,,
zcrm_1171216000004066022,Otravida Search,Agency,,,,
zcrm_1171216000004066023,RBUK Legal Ltd,Agency,,,,
zcrm_1171216000004066024,Savvas Consulting,Agency,,,,
zcrm_1171216000004066025,Seriously Connected,Agency,,,,
zcrm_1171216000004066026,SF Recruitment,Agency,£20,£20,NA,NA
zcrm_1171216000004066027,Sharp Consultancy Ltd,Agency,,,,
zcrm_1171216000004066028,Standguide Ltd,Agency,,,,
zcrm_1171216000004066029,Stark Brooks,Agency,,,,
zcrm_1171216000004066030,Sundial Resourcing,Agency,,,,
zcrm_1171216000004066031,The Flame Lily Healthcare Ltd,Agency,,,,
zcrm_1171216000004066032,The InvestR Group,Agency,,,,
zcrm_1171216000004066033,The Martin Veasey Partnership,Agency,,,,
zcrm_1171216000004066034,The MRJ Group,Agency,,,,
zcrm_1171216000004066035,This Is Prime,Agency,,,,
zcrm_1171216000004066036,Tindall Perry,Agency,,,,
zcrm_1171216000004066037,Venatus-Global,Agency,,,,
zcrm_1171216000004066038,Vie Talent Solutions Ltd,Agency,,,,
zcrm_1171216000004066039,WWB Recruitment,Agency,,,,
zcrm_1171216000004131005,Fold7,End Client,,,,
zcrm_1171216000004155021,Colas,End Client,,,,
zcrm_1171216000004157037,Brewster Pratap,Agency,,,,
zcrm_1171216000004168043,ShortList,Agency,,,,
zcrm_1171216000004168073,Protech Site Services,Agency,£22,,,
zcrm_1171216000004168135,LS Contracts,Agency,,,,
zcrm_1171216000004235003,3r Consulting Ltd,Agency,,,,
zcrm_1171216000004235004,A S G DUPLICATE,Agency,,,,
zcrm_1171216000004235005,Adecco Chester,Agency,,,,
zcrm_1171216000004235006,Amberstone Group,Agency,,,,
zcrm_1171216000004235007,Blue Wave H R,Agency,,,,
zcrm_1171216000004235008,Bluewave Hr,Agency,,,,
zcrm_1171216000004235009,Brighter Choices,Agency,,,,
zcrm_1171216000004235010,Brophy McPaul Ltd,Agency,,,,
zcrm_1171216000004235011,Hays Chester,Agency,,,,
zcrm_1171216000004235012,Ireson Recruitment,Agency,,,,
zcrm_1171216000004235013,Korus Recruitment Group,Agency,,,,
zcrm_1171216000004235014,Matt Burton Associates,Agency,,,,
zcrm_1171216000004235015,Meridian Business Support Chester,Agency,,,,
zcrm_1171216000004235016,Office Angels Chester,Agency,,,,
zcrm_1171216000004235017,Proactive Personnel Chester,Agency,,,,
zcrm_1171216000004235018,Pyramid Consultancy,Agency,,,,
zcrm_1171216000004235019,Rampart Blue Ltd,Agency,,,,
zcrm_1171216000004235020,Randstad Education Chester,Agency,,,,
zcrm_1171216000004235022,Searchability UK Ltd,Agency,25.95,25.95,NA,NA
zcrm_1171216000004235023,Talent Source Recruitment Ltd,Agency,,,,
zcrm_1171216000004235024,Thaistaff Solutions,Agency,,,,
zcrm_1171216000004235025,The Business Connection,Agency,,,,
zcrm_1171216000004235026,Virtuoso Recruitment Ltd,Agency,,,,
zcrm_1171216000004235027,Woods Recruitment Ltd,Agency,,,,
zcrm_1171216000004235028,24 7 Recruitment Services,Agency,,,,
zcrm_1171216000004235030,Hays Wrexham,Agency,,,,
zcrm_1171216000004235031,Pertemps Wrexham,Agency,,,,
zcrm_1171216000004235032,Proactive Personnel Wrexham,Agency,,,,
zcrm_1171216000004235033,Recruit4staff Wrexham Ltd,Agency,19.95,19.95,19.95,19.95
zcrm_1171216000004235034,The Orcid Partnership,Agency,,,,
zcrm_1171216000004235035,Travail Employment Group,Agency,,,,
zcrm_1171216000004235036,A S A Recruitment,Agency,,,,
zcrm_1171216000004235038,Adecco Warrington,Agency,,,,
zcrm_1171216000004235039,Adele Carr Financial Recruitment,Agency,,,,
zcrm_1171216000004235040,Amiqus,Agency,,,,
zcrm_1171216000004235041,Andrew Bloomer Associates Ltd,Agency,,,,
zcrm_1171216000004235043,B M S Sales Specialists,Agency,,,,
zcrm_1171216000004235044,Berry Catering,Agency,,,,
zcrm_1171216000004235045,Brook Street Warrington,Agency,,,,
zcrm_1171216000004235046,Fircroft,Agency,£22,£22,NA,NA
zcrm_1171216000004235048,Focus on Care Within St Marys Hospital,Agency,,,,
zcrm_1171216000004235049,Foresight Recruitment Solutions Ltd,Agency,,,,
zcrm_1171216000004235050,Forrest Recruitment Warrington (Manchester Road),Agency,,,,
zcrm_1171216000004235051,Forrest Recruitment Warrington (Buttermarket Street),Agency,,,,
zcrm_1171216000004235053,Go to Work,Agency,,,,
zcrm_1171216000004235054,Hays Warrington,Agency,,,,
zcrm_1171216000004235057,Jobsearch Consultancy Ltd,Agency,,,,
zcrm_1171216000004235059,Just Teachers Ltd,Agency,,,,
zcrm_1171216000004235061,Lab Support UK,Agency,,,,
zcrm_1171216000004235062,Manpower Warrington,Agency,,,,
zcrm_1171216000004235063,McCarthy Recruitment Ltd,Agency,,,,
zcrm_1171216000004235064,Meridian Business Support Warrington,Agency,,,,
zcrm_1171216000004235065,Noble Futures Ltd,Agency,,,,
zcrm_1171216000004235066,Office Angels Warrington,Agency,,,,
zcrm_1171216000004235067,Ortolan Group,Agency,,,,
zcrm_1171216000004235068,P K Education,Agency,,,,
zcrm_1171216000004235069,Persuto Automotive,Agency,,,,
zcrm_1171216000004235070,Premiere People Warrington,Agency,,,,
zcrm_1171216000004235071,Prestige Recruitment Ltd,Agency,,,,
zcrm_1171216000004235072,Quest Energy Resources Ltd,Agency,,,,
zcrm_1171216000004235073,Randstad Education Warrington,Agency,,,,
zcrm_1171216000004235074,Red Dot,Agency,,,,
zcrm_1171216000004235077,Regent Recruitment,Agency,,,,
zcrm_1171216000004235078,Rowlandson Recruitment Ltd,Agency,,,,
zcrm_1171216000004235079,Satisfy Recruitment,Agency,,,,
zcrm_1171216000004235080,Silverline UK Recruitment Ltd,Agency,,,,
zcrm_1171216000004235081,Spire Hr Solutions Ltd,Agency,,,,
zcrm_1171216000004235082,Stephen Ball & Co,Agency,,,,
zcrm_1171216000004235083,T C S Executives Ltd,Agency,,,,
zcrm_1171216000004235084,Teale Consulting,Agency,,,,
zcrm_1171216000004235085,The Consultants Ltd,Agency,,,,
zcrm_1171216000004235086,Top Gear Recruitment Ltd,Agency,,,,
zcrm_1171216000004235087,Total Supplies Leigh Ltd,Agency,,,,
zcrm_1171216000004235088,121 H R Solutions Ltd,Agency,,,,
zcrm_1171216000004235089,A F T Recruitment,Agency,,,,
zcrm_1171216000004235090,Ably Resources,Agency,,,,
zcrm_1171216000004235091,Adecco Glasgow,Agency,,,,
zcrm_1171216000004235092,Afifa Khan Ltd,Agency,,,,
zcrm_1171216000004235093,Allen Accountancy Recruitment,Agency,,,,
zcrm_1171216000004235094,Allneeds Recruitment Co Ltd,Agency,,,,
zcrm_1171216000004235096,At Work Scotland,Agency,,,,
zcrm_1171216000004235098,Beaver Management Services - BMS,Agency,,,,
zcrm_1171216000004235099,Black & Black Recruitment Ltd,Agency,,,,
zcrm_1171216000004235100,Blue Arrow Glasgow,Agency,,,,
zcrm_1171216000004235101,Brightwork Glasgow,Agency,"up to £9.50 £12 margin, £9.51 upwards £15","up to £9.50 £12 margin, £9.51 upwards £15",NA,NA
zcrm_1171216000004235102,Brook Street Glasgow,Agency,,,,
zcrm_1171216000004235103,Brunel International UK Ltd,Agency,,,,
zcrm_1171216000004235104,Carbon 60 Glasgow,Agency,£19,NA,NA,NA
zcrm_1171216000004235106,Clyde Marine Recruitment,Agency,,,,
zcrm_1171216000004235107,Copestone Executive Recruiters,Agency,,,,
zcrm_1171216000004235109,Data People LLP,Agency,,,,
zcrm_1171216000004235110,Driver Hire Glasgow,Agency,,,,
zcrm_1171216000004235111,Drummond Phillips Consulting Ltd,Agency,,,,
zcrm_1171216000004235112,E S L Site Services Ltd,Agency,,,,
zcrm_1171216000004235113,easyrecruituk.com,Agency,,,,
zcrm_1171216000004235114,Edit-scotland,Agency,,,,
zcrm_1171216000004235115,Enigma People Solutions Ltd,Agency,,,,
zcrm_1171216000004235116,Eton Jones Ltd,Agency,,,,
zcrm_1171216000004235118,Fire & Security Jobs,Agency,,,,
zcrm_1171216000004235119,Future Talent Recruitment,Agency,,,,
zcrm_1171216000004235120,G12 Recruitment,Agency,,,,
zcrm_1171216000004235121,Galaxy Recruitment,Agency,,,,
zcrm_1171216000004235122,Glasgow Coach Drivers Ltd,Agency,,,,
zcrm_1171216000004235123,Glasgow South East Regeneration Agency,Agency,,,,
zcrm_1171216000004235124,Glasgow South West Regeneration Agency,Agency,,,,
zcrm_1171216000004235125,Glasgow Works,Agency,,,,
zcrm_1171216000004235126,glasgowjobs.com,Agency,,,,
zcrm_1171216000004235127,Go Be Tms,Agency,,,,
zcrm_1171216000004235128,Goldstar Chefs,Agency,,,,
zcrm_1171216000004235129,Granite Services International Inc,Agency,,,,
zcrm_1171216000004235130,H R C Healthcare,Agency,,,,
zcrm_1171216000004235131,H R Consultancy,Agency,,,,
zcrm_1171216000004235132,Hardy Recruitment,Agency,,,,
zcrm_1171216000004235133,Harrison Scott Associates,Agency,,,,
zcrm_1171216000004235134,Havas People,Agency,,,,
zcrm_1171216000004235135,Hays Glasgow,Agency,,,,
zcrm_1171216000004235136,Hope Recruits,Agency,,,,
zcrm_1171216000004235138,Impact Arts Projects Ltd,Agency,,,,
zcrm_1171216000004235139,Integrity Resource Solutions,Agency,,,,
zcrm_1171216000004235140,Ion Recruitment Ltd,Agency,,,,
zcrm_1171216000004235141,James Gray Recruitment,Agency,£10,£20,NA,£20
zcrm_1171216000004235143,Jobway Recruitment,Agency,,,,
zcrm_1171216000004235144,K L W International Recruitment,Agency,,,,
zcrm_1171216000004235145,Kathleen O'Hare Recruitment Ltd,Agency,,,,
zcrm_1171216000004235146,Kelly Scientific Resources,Agency,,,,
zcrm_1171216000004235148,Lamont Associates Ltd,Agency,,,,
